ticket_id,subject,body,channel,priority,created_ts,category,urgency,sentiment
TK-100000,How do I change my email,How do I change my email. I need this resolved.,email,Low,2026-03-04 07:08:00,General,low,neutral
TK-100001,Please add dark mode,Please add dark mode. Can someone look into this?,twitter,Low,2026-02-25 07:32:00,Feature Request,medium,neutral
TK-100002,SSO redirect keeps failing,I've been waiting for days!! SSO redirect keeps failing. Let me know next steps.,email,Medium,2026-04-25 18:17:00,Login/Access,high,negative
TK-100003,Can you support CSV export,Thanks for your help. Can you support CSV export. Let me know next steps.,email,Urgent,2026-02-25 10:06:00,Feature Request,low,positive
TK-100004,Dashboard shows blank screen,Please respond ASAP. Dashboard shows blank screen. I need this resolved.,twitter,Low,2026-01-12 23:29:00,Bug/Error,high,negative
TK-100005,Invoice shows wrong amount,Thanks for your help. Invoice shows wrong amount. Please advise.,email,Low,2026-04-03 18:12:00,Billing,medium,positive
TK-100010,What are your business hours,This is really frustrating. What are your business hours. Any update would help.,web_form,High,2026-04-12 20:29:00,General,high,negative
TK-100011,SSO redirect keeps failing,Please respond ASAP. SSO redirect keeps failing. I need this resolved.,twitter,Urgent,2026-05-30 13:57:00,Bug/Error,high,negative
TK-100012,Password reset email never arrives,Please respond ASAP. Password reset email never arrives. Any update would help.,email,Medium,2026-01-24 01:55:00,Login/Access,high,negative
TK-100013,Account locked after failed attempts,Please respond ASAP. Account locked after failed attempts. Can someone look into this?,phone,High,2026-04-09 12:38:00,Login/Access,high,negative
TK-100006,Two-factor code not working,Two-factor code not working. Let me know next steps.,phone,High,2026-01-26 12:17:00,Login/Access,medium,neutral
TK-100007,Dashboard shows blank screen,This is really frustrating. Dashboard shows blank screen. I need this resolved.,email,Medium,2026-06-29 21:41:00,Bug/Error,high,negative
TK-100008,Is there a student discount,This is really frustrating. Is there a student discount. Any update would help.,twitter,Medium,2026-04-08 08:59:00,General,high,negative
TK-100009,App crashes when I upload a file,This is really frustrating. App crashes when I upload a file. Can someone look into this?,email,Medium,2026-03-22 12:17:00,Bug/Error,high,negative
TK-100018,I was charged twice this month,Not happy about this. I was charged twice this month. Any update would help.,web_form,Medium,2026-01-18 17:49:00,Billing,high,negative
TK-100019,Need bulk edit functionality,This is really frustrating. Need bulk edit functionality. I need this resolved.,web_form,Medium,2026-05-16 19:27:00,Feature Request,high,negative
TK-100020,Export button does nothing,Not happy about this. Export button does nothing. I need this resolved.,email,Medium,2026-04-23 16:28:00,Bug/Error,high,negative
TK-100021,Why did my subscription price go up,Why did my subscription price go up. Please advise.,web_form,Low,2026-05-22 07:37:00,Billing,medium,neutral
TK-100034,Two-factor code not working,This is really frustrating. Two-factor code not working. I need this resolved.,chat,Urgent,2026-04-12 04:42:00,Login/Access,high,negative
TK-100035,I was charged twice this month,I've been waiting for days!! I was charged twice this month. Please advise.,twitter,Medium,2026-05-25 03:04:00,Billing,high,negative
TK-100036,Getting a 500 error on checkout,Thanks for your help. Getting a 500 error on checkout. Can someone look into this?,web_form,Urgent,2026-03-04 11:18:00,Bug/Error,medium,positive
TK-100037,What are your business hours,Please respond ASAP. What are your business hours. Please advise.,twitter,High,2026-01-03 21:52:00,General,low,neutral
TK-100014,I was charged twice this month,Not happy about this. I was charged twice this month. Please advise.,email,High,2026-03-10 20:21:00,Billing,high,negative
TK-100015,Account locked after failed attempts,Account locked after failed attempts. I need this resolved.,email,High,2026-05-09 05:32:00,Login/Access,high,negative
TK-100016,Delivery is two weeks late,This is really frustrating. Delivery is two weeks late. Let me know next steps.,twitter,Low,2026-04-06 05:34:00,Shipping,high,negative
TK-100017,Export button does nothing,Export button does nothing. Can someone look into this?,email,Medium,2026-04-03 09:15:00,Bug/Error,medium,neutral
TK-100042,Refund not received yet,Please respond ASAP. Refund not received yet. Can someone look into this?,web_form,Urgent,2026-04-05 18:35:00,Billing,high,negative
TK-100043,Why did my subscription price go up,Thanks for your help. Why did my subscription price go up. Can someone look into this?,web_form,Low,2026-04-02 06:43:00,Billing,medium,positive
TK-100044,Tracking number is invalid,Please respond ASAP. Tracking number is invalid. Let me know next steps.,web_form,Urgent,2026-03-02 05:51:00,Shipping,high,negative
TK-100045,Two-factor code not working,I've been waiting for days!! Two-factor code not working. Let me know next steps.,email,Urgent,2026-03-10 05:50:00,Login/Access,high,negative
TK-100022,How do I change my email,This is really frustrating. How do I change my email. Can someone look into this?,twitter,Medium,2026-01-09 10:04:00,Login/Access,high,negative
TK-100023,How do I contact sales,This is really frustrating. How do I contact sales. Please advise.,twitter,Urgent,2026-02-03 23:59:00,General,medium,negative
TK-100024,Add integration with Slack,This is really frustrating. Add integration with Slack. Can someone look into this?,chat,Urgent,2026-01-25 21:27:00,Feature Request,medium,negative
TK-100025,Please add dark mode,Not happy about this. Please add dark mode. Can someone look into this?,chat,Low,2026-01-16 12:46:00,Feature Request,medium,negative
TK-100038,Refund not received yet,Thanks for your help. Refund not received yet. Can someone look into this?,web_form,High,2026-01-28 23:35:00,Billing,medium,positive
TK-100039,Package arrived damaged,Not happy about this. Package arrived damaged. I need this resolved.,chat,Urgent,2026-02-22 21:40:00,Shipping,high,negative
TK-100040,I was charged twice this month,Not happy about this. I was charged twice this month. Any update would help.,chat,Medium,2026-03-12 01:00:00,Billing,high,negative
TK-100041,Getting a 500 error on checkout,Not happy about this. Getting a 500 error on checkout. Any update would help.,twitter,Low,2026-05-22 22:27:00,Bug/Error,high,negative
TK-100030,Two-factor code not working,This is really frustrating. Two-factor code not working. Can someone look into this?,email,High,2026-05-29 23:34:00,Bug/Error,high,negative
TK-100031,Invoice shows wrong amount,I've been waiting for days!! Invoice shows wrong amount. Please advise.,twitter,Low,2026-05-16 05:03:00,Billing,high,negative
